"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000228794",545.819583572708,0.199920696321287,0.0875248938098454,22.7756304039905,1.13327340427495e-05,2.96489976851817e-05,"LINC01128"
"ENSG00000188976",5603.97977619984,-0.0288214856950829,0.0458767382701242,85.0081005987574,3.47316564433081e-19,1.9484796784941e-18,"NOC2L"
"ENSG00000187961",638.148122569461,-0.1314530304539,0.0857497606166518,18.0964728948171,0.00011759824484382,0.000278845207093607,"KLHL17"
"ENSG00000187642",80.672710420464,-0.376792710501004,0.202974402099355,67.6287539988725,2.06349138545015e-15,9.71569079017694e-15,"PERM1"
"ENSG00000188290",163.776614363725,0.630036985590737,0.15753249634303,24.7469455336465,4.22930548291258e-06,1.14652882230051e-05,"HES4"
"ENSG00000187608",158.442535258548,-0.173543487527911,0.155832809991117,191.802777119779,2.24158979908414e-42,2.642240485783e-41,"ISG15"
"ENSG00000188157",6492.99763473451,-0.0870565106880802,0.0580671219163592,101.720777137608,8.1585672386367e-23,5.33882023697241e-22,"AGRN"
"ENSG00000078808",8072.21508920652,-0.123696000240252,0.0384961474250296,18.4188779175861,0.000100090181957809,0.000238621526667947,"SDF4"
"ENSG00000176022",969.977404286706,0.237294065005258,0.0838700080410083,154.569952960653,2.7262217642035e-34,2.57901450587261e-33,"B3GALT6"
"ENSG00000160087",1523.50444779568,-0.165490186252142,0.0689119414200404,27.0833146210603,1.31502180525359e-06,3.71556059550521e-06,"UBE2J2"
"ENSG00000131584",1364.38261733409,-0.388553844195327,0.0633201010283013,55.2619795518798,1.00003134047974e-12,4.12364839683188e-12,"ACAP3"
"ENSG00000127054",3133.80811089678,-0.256383615131669,0.0505436140518933,28.8972498773012,5.30935687610544e-07,1.54724412583772e-06,"CPSF3L"
"ENSG00000224051",2338.09894767588,-0.17945351300393,0.059126970764748,198.94139240604,6.31575868493325e-44,7.6542597190827e-43,"CPTP"
